Index,Review,Manual Presence Label
3797,Mostly in stock and helpful staff!,Rumor
3798,"Love the Home Depot stores, haven’t been in one yet that they haven’t been friendly and helpful. Once again I go into the store with one thing in mind and find myself getting sidetracked by all the items that they offer plus so many things I never knew about and didn’t know I wanted, lol.",Rumor
3799,"Great, large variety of acts,loved the large vegetables!  Enjoyed guys from Brazil and Hobo Jim concerts!",Visited
3800,So far I have enjoyed shopping at Walmart and will continue to do so..,Visited
3801,"Good food, pretty fast service.",Visited
3802,Great restaurant and great service! I highly recommend this place! I miss it and hope to be able to visit again soon!,Visited
3803,Worst food in Fairbanks,Visited
3804,Always good food!,Visited
3805,Try out Firehouse barbacue.,Rumor
3806,Good place for food,Visited
3807,Great eats,Rumor
3808,Drug addicts and drunks all day long. Cops every night. Owner isn't trying all that much.,Rumor
3809,Easy to get laundry done quickly,Rumor
3810,"Ok food $11 buffett little over a year ago, I went today and very disappointed, they never refilled my water food was old stale  dont go here unless you want to watch a fat smelly white  guy skulking around to refill the Buffett",Visited
3811,New games and fun activities for the whole family. Good birthday party in the back.,Rumor
3812,Nice place. I was wondering why the Breakfast Burrito was $11.. and then it came..... and I knew.....,Rumor
3813,Always have so much to find here!,Rumor
3814,"For AK, the service was excellent as well as the food. Would get a 4 star in the lower 48 with the loud atmosphere, high little table tops and over all cost... but here, I would give it six stars if I could.",Visited
3815,Real chill/dim space. Lots of room and stuff to do. Love their little game pile.,Rumor
3816,Fast drive through smoke shop. Great place to buy roll-your-own products,Rumor
3817,Good food,Visited
3818,A little more expensive but that's the price of convenience. The works have been nice but are very normal Alaskans in their bluntness.,Rumor
3819,Mmmm Mexican pizza,Rumor
3820,My first time going to a trampoline park. We went to run out our 3 year old but I ended up jumping for an hour also. Wish this was here when I was a kid. I was more worn out then then my son at the end of it all. Staff was friendly and professional. The facility was clean. Overall this place is awesome. If I lived closer to Anchorage I would come here more often. Your not to old to have fun here!,Rumor
3821,I went here for work. The mall itself doesn't have a lot of options they do have Lay-Z-Boy. But UAA mostly controls the entire mall. I believe they are planning on sailing the mall.,Rumor
3822,Outstanding place to score phenomenal flowers!,Rumor
3823,"Always busy, but so worth it. Nice organized set up.",Rumor
3824,"Excellent service,  tasty meals.",Visited
3825,"A typical coffee drive up located next to Eagle's Rest RV park and at the Tesoro station/Cpt Joe's gas.  They have all the different coffee drinks you can think of, as well as tea, milkshakes, and some limited food options for breakfast (like oatmeal).  In my opinion, it's better coffee that what's served next door at the diner or gas station.  The only drawback is the coffee is a bit pricey, but you're paying for convenience as well as being in Alaska.  Still tastes better to me.",Visited
3826,"Only a few car rental companies have managed to keep my business. National is one of them. I believe the company will continue to keep my business. Several have been crossed of of my discerning car rental list, for good reason. Thank you National for continuing to maintain your reputation as a premier car rental business.",Rumor
3827,Good clean and close place to stay near Denali park with a microwave and small frig.,Rumor
3828,Loved the Sat  bartenders sass,Rumor
3829,These guys are awesome they totally helped us out with getting a key made for a car that we picked up on the low,Rumor
3830,"Good food, except for the clam chowder, warm and friendly service.  They have the best pizza ever!!",Visited
3831,Good stuff!,Rumor
3832,This is a great place for RC. It’s reasonably priced compared to ordering it. And it’s local,Rumor
3833,Always good here,Rumor
3834,Fast affordable and friendly!,Rumor
3835,"Good burgers, lots of variety. Has gluten free burger, bun is tasty. Fries are awesome. Service is usually good.",Visited
3836,"Clean, welcoming, amazing workers. No complains here.",Rumor
3837,"My favourite pizza place in Anchorage. Personal, oldbworld style pizzas. And apparently a hidden gem as I've never seen it packed (though admittedly I normally go pretty early)",Rumor
3838,"Always sweet!
Girls are a treat!
Never miss a beat!",Rumor
3839,i love the place,Rumor
3840,Always excellent food and excellent service!,Visited
3841,Excellent specialty shop. Very professional and helpful staff.,Rumor
3842,"Every time i have an issue that needs some extra attention, Chris and his crew have gine the extra mile to accomodate me. Thanks..",Rumor
3843,Very good service,Visited
3844,Some times you get very good stuff here,Rumor
3845,Wonderful tasting food which hit the spot.,Visited
3846,"(Translated by Google) There are various things related to school, so it is good to buy souvenirs.

(Original)
학교에 관련한 다양한 물건들이 있어 기념품 사기에 좋아요.",Rumor
3847,Very clean and updated.,Rumor
3848,Great haircut generally without having to wait and the hair stylists are wonderful to chat with. Then there is the receptionist who makes my heart go wild! 😍,Rumor
3849,Me and my husband love their pizza always polite never rude always on time for delivery,Rumor
3850,Best pet store in town,Rumor
3851,Asian stuff.. you name it! They have it all...,Rumor
3852,Way too expensive for used items.,Rumor
3853,"We’ve been residents of Fairbanks for about three months now and have eatin out about 5 or 6 times since arriving, every time we have been disappointed.  The taste just isn’t very good at the places we have tried, for whatever reason.  Couple poor taste with expensive pricing and it makes for a very poor experience.  That was certainly not the case here.  I don’t care about price, I don’t care about seating for large groups, I don’t care about cleanliness, when the food tastes this good, it doesn’t matter.  Do not miss an opportunity to check this place out.  If anyone rates this place anything less than 4 stars they are either crazy or in competition with them.",Visited
3854,"It's definitely interesting inside. Customer service was a little awkward, but it was fun looking around.",Visited
3855,A must visit. Food and drink outstanding.,Visited
3856,Typical Sam's Club,Rumor
3857,Fast food if it's too hot to cook.,Visited
3858,"A solid 5/5. The service is phenomenal, literally the second time I went there they remembered my order and asked if i wanted the same thing again. I always get the veggie skillet (it's called scramble on the menu but i don't like scrambled eggs) and i highly recommend it. My friend had chicken fried steak when i brought him and he really liked that as well. I've also had the veggie omelette which was killer as well.

The atmosphere is very old school, coca cola vintage decor everywhere. If you don't like oldies music (50s-70s pop) bring earphones because that's all they play.

Plus breakfast all day is always awesome. You won't be disappointed with this place. Also they have hot sauces but you gotta ask for them.",Visited
3859,"Amazing service with great food. Prime rib, filet and game hen are all hard to beat!",Visited
3860,The food was good and came out fast.,Visited
3861,Great Christmas meal!,Rumor
3862,"Its wal mart, and even in these trying times they seem to make the most simple task as walking in the door complicated when already requiring a mask. No sense. People being told to go back out the out door to walk back in the in door when they are already in the store. STUPID. But they re trying as we all are.",Rumor
3863,"No alcohol available, seafood chowder awesome and we ate every bite, the halibut sandwich was juicy but way too much bun for the halibut portion.",Visited
3864,Pretty good but can be expensive,Rumor
3865,Awesome as always!,Rumor
3866,Really good flour tortillas. Legitimately quick tacos 🙃,Rumor
3867,A great little park for the kids. There is a nice jungle gym and a figure-8 path around it that is great for bikes.,Rumor
3868,Good pizza. Great lunch buffet.,Rumor
3869,The forest is always cool.,Rumor
3870,My favorite gas station in Palmer. Great attendants always great attitude and love my rewards!! Woop woop forever a  loyal fred Meyer customer :),Rumor
3871,Best prices in town! Small business with a great staff! Nice selection if they don't have it they will get it.,Rumor
3872,We go here when we come to town because I think they have some of the comfiest recliners! Yummy snacks! And pretty clean.,Rumor
3873,Very helpful and found what i was looking for,Rumor
3874,"This is a beautiful restaurant, and we recieved excellent service, but I think almost everyone at our table was disappointed in one way or another when their food arrived.  Everyone that ordered a menu item that they knew was a dish that is traditionally spicy was presented with a meal so spicy hot it was almost inedible, and the plate was covered in dangerous little spicy peppers.  My Asian chicken salad was quite possibly the most underwhelming meal I've ever had at a restaurant, and the chicken was so dry.  I feel poorly about leaving such a negative review, but I don't want anyone else to waste their money and precious vacation time when they could find a better meal out in Juneau.",Visited
3875,Sometimes service is hit and miss at Home Depot but today was really awesome and Lance was very helpful.,Visited
3876,"(Translated by Google) Good foid

(Original)
Good foid",Rumor
3877,Nice local place that offers classes and Alaskan fabrics.,Rumor
3878,Lots of store to shop,Rumor
3879,Quick Service good fries.,Visited
3880,"Quick service, incredible food, pleasant staff, Lovely atmosphere.",Visited
3881,"This was the Here's Johnny-est  hotel I've ever stayed at. Directions to our room were...""Go up the stairs, then walk backwards..."" it was a labyrinth of red carpet and fuzzy gold wallpaper with cryptic words carved into it. The hot tubs ""in the basement"" were closed because of the ""chalk marks"". According to the front desk there was a murder and a 'suicide' (air quotes).  They're doing alright during covid because on the first Friday of the month ""locals come out of the woodworks""... To stay at a local hotel? ""Yeah, they like to be spooked.""
Mmkay.

The day we left we were notified if an unauthorized charge to ""PayJay"" and had to cancel the credit card we'd used. Took a day or so to air out the mildew smell.",Rumor
3882,A good place for groceries.,Rumor
3883,Nice food and a nice patio.,Visited
3884,Awesome😍📱,Rumor
3885,Some of the best pizza I've ever had.  I've have only have a few items off their menu but they were all absolutely delicious.  Island Pub has a lively and high energy atmosphere.  It's a bit pricey and it does take them a while to bring you your food but it's worth the wait!  Recommended,Visited
3886,Best burrito I've had. It's huge and very filling,Rumor
3887,I love this place.  It was my husband's first visit & it will continue to be my favorite Mexican go to!,Rumor
3888,"Neither the best staff nor the best atmosphere, but the burgers are good, and vegetarian options are available if you're saddled with such folk.",Rumor
3889,I love the cabbage salad!,Rumor
3890,Great spot for sunny days,Rumor
3891,Amazing sale prices!,Rumor
3892,"So I wanted to purchase a new game, which was released 7 days ago. I walk into the store to the Switch and gaming aisle and attempt to find what I need. I went to this store because the information I found online said the game I wanted was in stock, (and it was). As I realize after 10 min of searching that Its not on shelves I wonder where the employees are. Only person I was able to locate was the cashier all the way in the front of the store, I realize she wasn't able to leave her station, so I asked if she could send someone my way, which she did as I had listened for her request. After standing around in the game section for another 10 min I see 3 employees just hovering and I snag one from the lap top section. He ultimately was unfamiliar but successful in assisting me. took about 25min to find what I needed and get out. One item. What really was bothersome is that this is my typical best buy experience for years, and I finally just am fed up. I understand full and well that people like browsing at best buy, however it shouldn't take such measures to be noticed, and assisted. I felt bothersome, and if that's how others feel too, I understand why the store looks like a ghost town 90% of every time I go in.",Visited
3893,Farmers Market on Wednesday is great. Different brew pub and supports different non profit each week.,Rumor
3894,The furnishes very nice!!!  customer service was awesome,Visited
3895,Excellent staff. Very helpful and very knowledgeable.,Rumor
3896,Jessica Block is a very talented artist and made my tattoo on point.  Best tattoo shop in Wasilla!,Rumor
3897,Friendly Staff and Manager. It really is a judgment free zone. Looked like they either updated or replaced old equipment. Very Clean and Quiet.,Rumor
3898,The Almond Chicken Salad is awesome plus great bagels.,Rumor
3899,Nice to walk around,Rumor
3900,"Its taco bell what do you expect, but pretty good",Rumor
3901,Amazing service!,Visited
3902,"Friendly staff, found what we wanted np.",Rumor
3903,Fish the incoming tide or the mid outgoing tide for Kings or Silvers,Rumor
3904,One of my favorite local spots!,Rumor
3905,The Whopper special drew me in tonight!  Whopper is hard to beat when you have that hamburger yearning!,Rumor
3906,It's a mall with stuff,Rumor
3907,"This is perhaps my favorite national park to date.  The trails are definitely worth their time.  We explored the Harding Icefield Trail that varied greatly in terrain, which made the adventure even better!",Rumor
3908,Pretty good pizza get it often little on pricey side.,Rumor
3909,Hummus on rosemary bagel. Yum.,Rumor
3910,The guy who helped us was very nice. A mini has always been my dream car and I finally got to drive one. I will be back to buy one hopefully!,Rumor
3911,"The food was good but the whole experience was ruined by how slow the sandwich maker was moving. It took about half hour to get our order completed. As soon as it was done, somebody finally noticed the line backed up and came out to help.",Visited
3912,Legit,Rumor
3913,"Vagabond Blues is one of the only places in the Valley that provide vegan options. There service is great, the employees are friendly, wonderful snacks and food! It's the perfect, small town coffee house! Also, more vegan options, please! :)",Visited
3914,I love snowboarding here in the winter,Rumor
3915,Good place for drink mixes,Rumor
3916,"I can never get enough of the Lapulu! (It's very earthy, so if you don't like the taste of very deep greenery, probably not for you) The servings are large & the staff is always friendly! There are so many different things to try!",Rumor
3917,Great staff and great food!,Visited
3918,Best Burgers in town 🍔💯🔥,Rumor
3919,Best peanut butterter filled preztel bites I have every had. They also have camo clothes  for anyone.,Rumor
3920,"Dirty Mac and Cheese was ok would have been better had it been hot.
Dirty Grilled cheese was soggy and disappointingly disappointing.",Rumor
3921,To great place to go and get a bite to eat and plus you get free wifey and you have a kids playground inside,Rumor
3922,It's a mess and the lumber sucks but they still have decent prices,Rumor
3923,"The pizzas are small and not topped very well, almost half crust. The lamb kabob appetizer was good, almost like 3 individual salads with 3 little curry lamb meatballs.
If you like to drink, this is your place. It's pretty much a bar that serves pizza.",Rumor
3924,"(Translated by Google) Very beautiful.

(Original)
Много красиво.",Rumor
3925,Can't resist their tastee treats!,Rumor
3926,Lots of intresting stuff for weddings and Halloween.,Rumor
3927,Love Mexican food and Margaritas on hot sunny days,Visited
3928,"Good food and drinks, def higher quality",Visited
3929,"Fantastic, clean,Quality meat.",Rumor
3930,"Denali National Park and Preserve is a beautiful place with lands untouched by man. It is important to note that Denali is more of a preserve than a ""park."" Cars are not allowed beyond the bus station. You must buy a bus ticket to go to Eielson Visitor Center. If you buy a bus ticket, you can get off the bus at any stop and catch another bus later. The only problem with this is, the buses are really full, and it's very hard to find a bus that has room for you. At Eielson there is a ranger that will put you on a waiting list, and they control how many people get back on the buses from there so it is easier to get back on a bus there than at other stops.
I should also add, there is no where to buy food or drinks past the bus station, so make sure you bring all you will need for a full days' adventure! Eielson has picnic tables where you can eat lunch if you brought it. It also has a couple of small trails to beautiful views.",Visited
3931,Great people service and good pricing,Visited
3932,Best place in town,Rumor
3933,"They usually have what I need, the store is always clean, and the employees are helpful",Rumor
3934,Great selection of cold weather gear and good pricing,Rumor
3935,"Had a going away party for a friend here. Great time! Nice big room, no problem with us bringing food (cake etc)... they even helped us decorate a little!",Visited
3936,"Called and they arrived at my house with in an hour. I was extremely impressed! The technician was really informative and cute but that's just an added bonus lol! Best service I've ever had from a heating company.  The price was really reasonable I had expected a higher bill than the one I received. I thought customer service was dead, but I was dead wrong. Thank you! Feels good to know I won't wake up cold tomorrow.",Visited
3937,"Hilarious bar and a must see for people looking to relax and have a drink and a laugh. Actual saloon doors welcome you into this sawdust floored old time saloon. We listened to a old country singer's tales and enjoyed the famed ""Duck Fart"" shot the bar is famous for.",Visited
3938,Always have had a pleasant experience with this Wendy's,Visited
3939,"Like any boscos, the employees are well versed and items are clearly categorized.",Rumor
3940,Terrible customer service,Visited
3941,Poor driver through at 11pm in MTV,Rumor
3942,Excellent food and service,Visited
3943,Good place to hangout with the guys!!! Gets a bit crowded after 12a.m.,Rumor
3944,1 of my family's favorite parks we love the train and the little garden that's located at the top of the hill next to this park !,Rumor
3945,Got what I needed service was great.,Visited
3946,"The outside is dingy but the rest of the experience from the trailers, the screens, sound, seats and ticket prices are great! Wheelchair accessible and a good option for taking in a movie with a group.",Visited
3947,Good down home style diner.  Nothing fancy but always good satisfying food at a reasonable cost.,Visited
3948,"Best food truck experience ever, friendly amazing staff and owner!! I didn't even get a photo of my chicken sandwich because it was so good and then gone.... If your looking for an amazing bite to eat with wonderful staff Pucker Wilson's is where you should choose",Visited
3949,Love this neighborhood artisan bakery!,Rumor
3950,Love my tacos,Rumor
3951,very helpful staff,Rumor
3952,Ok,Rumor
3953,"Everything about this place is perfect! Great atmosphere,  staff, food & prices. This is a must have in Anchorage.",Visited
3954,Like the curb side bingo,Rumor
3955,Best fudge ever.,Rumor
3956,Great burgers and breakfast. Good service. A local legend.,Visited
3957,"Great food, and awesome bar selection like I've never seen!",Visited
3958,"(Translated by Google) Super, the delicious Pizzas, we ordered the pepperoni and the vegetarian one, we really recommend the amber beer, also very rich, but what put the cherry on the cake were the ciders, you can ask for a test of 4 flavors and then choose the one that you like the most. I like the traditional one and the pineapple one, but they are all delicious, if you are in Anchorage you have to visit it.
The staff is super attentive and very attentive as we do not speak English very well, the boy who attended us at the beginning asked one of his colleagues who speaks Spanish to be on the lookout for us to feel more comfortable and that is great.

(Original)
Super, las Pizzas deliciosas, nosotros pedimos la de peperoni y la vegetariana,  realmente recomendables la cerveza ambar también muy rica, pero lo que puso la cereza del pastel fueron las sidras, puedes pedir una prueba de 4 sabores y después elegir la que más te guste a mi me gusto la tradicional y la de piña, pero todas son deliciosas,  si estas en Anchorage tienes que visitarlo.
El personal super atento y muy al pendiente como no hablamos muy bien el ingles, el chico que nos atendió  al principio pidió a un de sus compañeras que habla español que estuviera al pendiente de nosotros para sentirnos más cómodos y eso es genial.",Rumor
3959,"(Translated by Google) Need to book, save more than half the waiting time, slow meals, but very delicious, recommended!

(Original)
需訂位，可節省大半等侯時間，出餐慢，但是非常美味，推薦!",Rumor
3960,This is my most favorite place  to eat in the valley. Great service and amazing food.,Visited
3961,Delicious chicken fingers,Rumor
3962,Great people,Rumor
3963,Wow.  Cool.  Not very much wildlife.,Rumor
3964,It is Walmart. Not much more to say. Lol,Rumor
3965,So much fun for the kids 20 bucks 2 hours.,Rumor
3966,"(Translated by Google) Yuuum

(Original)
Yuuuum",Rumor
3967,"Easy parking, a few binocular stands, didn't see any belugas when we went though",Rumor
3968,Great place to look closely at the airplanes,Rumor
3969,great service,Visited
3970,"Very good pizza, thin crust ordered and it was delivered.",Rumor
3971,Great selection,Rumor
3972,Great outing,Rumor
3973,Great selection of healthy plants.  Helpful knowledgeable staff,Rumor
3974,Awesome views to ball park and ghetto apartments and portapotties and underground shops 300 301,Rumor
3975,Great milkshakes. Reasonable prices.,Rumor
3976,"To long of a wait for food, so we left",Visited
3977,Very helpful staff,Rumor
3978,"When your hungry late at night, its a quick bite to eat.",Rumor
3979,Very clean and the staff all had on smiles!,Rumor
3980,Leanna for nails and Angie for waxing are the best!  Everything is always extremely clean and the service is amazing!,Visited
3981,Awesome fudge!,Rumor
3982,"Good place to eat. I've been going there for years. Small, usually quiet, but they make there food with quality. Owner will make stop by and make sure your food is to yiur liking. I recommend this place to people who want to enjoy fresh quality food.",Visited
3983,Far away from most things but has eagle Crest ski area on it,Rumor
3984,Full of drug addicts and thieves. Would not recommend this hotel to anyone.,Rumor
3985,"The staff is friendly. Several came by to ask how the food was and if we needed anything else. Sadly, because it is so popular, there is not enough seating inside and there was a sense to rush to open up tables for new guests.",Visited
3986,"Very nice store, prices seem a bit higher than other stores. Again the paper bag issue is really unprofessional way to get .15 per bag.",Rumor
3987,"Not impressed, main course was good and reasonably priced. As for appetizers, don't bother.... The salsa is on par with Pace (I'm sure it is), and crab dip wasn't bad but was by far the worst I've had. Pricing is okay.",Rumor
3988,Groceries.  And such.  A regular village grocery store,Rumor
3989,Good food but poor service everytime.,Visited
3990,"(Translated by Google) Very good

(Original)
Muy bueno",Rumor
3991,DMVs are terribly known for long waits and rude customer service. This DMV location is on top of their game. I have not waited longer than 30 minutes .,Visited
3992,"All the hookups, polite staff and shopping in waking distance.   Denali tours close.  Why not?",Rumor
3993,Good food great service,Visited
3994,Clean and well staffed,Rumor
3995,"If you are Roman Catholic, a holy and welcoming place to worship. If not Roman Catholic, a good place to learn about Catholicism.",Rumor
3996,I enjoyed every bite.,Visited
3997,Staff here are friendly and helpful,Rumor
3998,"Super good! We had the philly w/ sweet potato fries, the Black n Bleu burger w/ black n Bleu fries, nachos, a couple beers, and a margarita that was on point. Highly recommend! They were super busy but we didn't have to wait for anything",Rumor
3999,Snack wraps,Rumor
4000,Good food and Romantic,Visited
4001,Very great place,Rumor
4002,Drinks are great could have more options for people who don’t eat meat.,Rumor
4003,"best staff, always friendly, helpful, and efficient even when I have a large load of work",Rumor
4004,It's McD's but they are always so slow at this location  it might be possible to actually go back in time.,Rumor
4005,"Very cool bar. Good options and usually they have fun events throughout the weekend. If you've got time to kill and money to spend, try going to blues central. Go to the phone booth in williwaw and dial. They will call you when there is space available. Definitely worth the wait",Rumor
4006,Tasty and fast,Rumor
4007,I love this store and wish I could afford to go more often. The wide selection of a little bit of everything and the fact that I can get hold of any book that I'd still in print is wonderful. I recently found that I can buy the entire collection of Tolkien's work in pocket book size for $50. I definitely know what I want to buy next time I am there.,Rumor
4008,"I have used this company for several years.  I especially like the mosquito control, as the spray is non toxic and the entire yard smells good after the application.  Mosquitoes are nonexistent post-treatment.  I'm happy they're providing treatment for spruce beetles, as I have 2 very large spruce trees
In my front yard that have been growing for over 25 years and I know they'll thrive and survive after the treatment.  I highly recommend this company.",Rumor
4009,Excellent service and food as ALWAYS,Visited
4010,Pretty clean,Rumor
4011,"If you're like me and put off dental care for many many.. Many years due to fear of pain and the whole ordeal, This is the place for you. Not only will they do whatever it takes to make you comfortable, if you prefer to not even be awake for all your care they can make that happen. I had some major work done including about 12 hours total of being sedated for oral surgery.  I can't stress enough how much this staff cared about my comfort and doing whatever it was that made me feel most comfortable. Dr Skinner and his staff were not only extremely knowledgeable they really made me feel more like a friend rather then a patient. If you have any concern about pain or not feeling safe and comfortable just bring it up with them. They're more then happy to listen and address your concerns.  If you're like me and extremely wary of dentistry and all that it brings, This is /THE/ Place to go.

Kevin J.",Rumor
4012,Got good verity,Rumor
4013,Lots of good stuff!,Rumor
4014,Ship Creek is a short walk down the hill and North of Downtown Anchorage. That's how I look at it as a resident. Here it runs along the  Main Alaska hub for the railroad and its headquarters. Right now the kings are in and the reds are following--It is a good season at ship Creek for a lot of fish are being caught. The weather is awesome. Ship Creek runs along the Tony Knowles Trail: a very popular destination for tourists and locals alike. Yes this park is a tranquil setting just a short walk from downtown ship Creek.,Rumor
4015,Service is always great!,Visited
4016,"Fun! Nothing like it in town!  They not have a deal where you come buy a $18-$24 large pizza on Fridays or Saturdays 5pm to 7pm for dine in, pick up or take and bake and then get a FREE adult swim pass for a future visit!  Take the kids to go get some excerise and go ride the master blaster ;)",Rumor
4017,Perfect 👌,Rumor
4018,Love their crunch wraps!! 🤤,Rumor
4019,Hot springs are awesome as is the restaurant.,Rumor
4020,Dr. Neville is the guy to see if you need a cat Dr.,Rumor
4021,Good place for Valdez,Rumor
4022,Great prices much less than I thought they would be. Even cheaper than the Trout house / Windbreak restrauant down the road. Lots of food choices also.,Visited
4023,"Great service great coffee friendly staff this place stays busy but they're on top of it . Comfort breakfast's , healthy breakfast , you name it😎👍!",Visited
4024,Great food and service,Visited
4025,"(Translated by Google) A unique and unparalleled experience, if you can take a tour with them.

(Original)
Una experiencia única e inigualable, si pueden tomen un tour con ellos.",Visited
4026,"This was a neat place to visit. They turned an old water treatment place into a shelter for bears that couldn't make it in the wild. Admission was only 10 dollars for an adult and it was worth it. The staff was friendly and very knowledgeable. They also seemed to genuinely care for the well being of the bears. Even if you dont have little kids, this is an awesome place to see these great Alaskan animals.",Rumor
4027,It was a very beautiful little walk for a very busy Lanes,Rumor
4028,Wow. They have some great scotch.,Rumor
4029,Favorite breakfast joint,Rumor
4030,A little bit of everything you might need!,Rumor
4031,"Helpfull, asks if need help. Knoledgable.",Rumor
4032,Standard food but slow service.   Staffing concerns,Visited
4033,Literally my favorite place in anchorage! They make you feel like family.,Rumor
4034,Good prices,Rumor
4035,"Absolutely amazing food, great service, and a quaint cozy environment!",Visited
4036,It takes way too long to get an appointment and you can't get in there unless you have an appointment it's very frustrating,Rumor
4037,They have anything that you can find bbn in this place. Totally reccomend.,Rumor
4038,"For a chain restaurant, the food isn't bad. The wedge salad was actually really good, but just like most chain restaurants, the food is never great.",Visited
4039,So good! Glad we have one right in Palmer! You can never go wrong with Taco Bell,Rumor
4040,Good selection,Rumor
4041,"Golf clubs are a bit sticky, but their VR games are extremely fun...and maybe slightly addictive. Kind staff, and a good place to take kids.",Rumor
4042,Great food!,Visited
4043,Q fantastic dinner spot,Rumor
4044,Course in great shape. Military discounts. Challenging. I'll play here again.,Rumor
4045,Quick and easy food. Polite service. Thank you Wasilla.,Visited
4046,Great movie prices and there selection is pretty good and it is random,Rumor
4047,Yuck,Rumor
4048,"Maybe it was an off night but the waitress was not very attentive to our table and seemed very disinterested in our satisfaction. We had the endless pancakes and she never returned after the first plates were served to ask if we wanted another plate. We still left a tip, although reluctantly.",Rumor
4049,Friendly safe driver and average rates!,Rumor
4050,Love to stay hete even for a staycation.,Rumor
4051,Great selection however when we asked to purchase it in a box the Walmart worker said it was too much trouble and encouraged us to go to another location. Lazy!!!,Rumor
4052,What a nice place.  We were happy to find it.  Store is small but selection was good and staff was great!  Definitely recommend if you are in Seward Alaska.  The name rocks as well.  Wish I had gotten a t shirt.,Rumor
4053,Found the books I needed and got the service I needed as well.,Visited
4054,Niqui is da bomb!,Rumor
4055,My favorite auto store. They are always extremely helpful and I've never walked away without my part or help I needed,Rumor
4056,Great location,Rumor
4057,Great family fun,Rumor
4058,"Karen runs a great coffeehouse, my wife and I go there very often!",Rumor
4059,Only place I've been able to find strawberry Charleston chews!,Rumor
4060,Our local source for Sodastream supplies.,Rumor
4061,They gave us a coupon and the guy said it was good for takeout but the next time we picked up food they said they couldn’t apply it- dine in only. Please stick to one story. Another time recently they made us wait over 45 extra minutes for a takeout order after we got there. The food is decent but the customer service not so much,Visited
4062,"Very helpful, polite information is correct. They will walk you to where your asking about to make sure you find what your looking for.",Rumor
4063,"(Translated by Google) The price is very expensive, the room is very old, many equipment and hardware are faulty, the staff is often used by one person, the service attitude is very poor and no smile.

(Original)
房價很貴，房間很舊，很多設備跟硬體都故障，人員不足經常一人多用，服務態度很差沒笑容。",Visited
4064,There is some negativity associated with this place and its locale. But I find the owners are working hard to turn the place around. My kitchenette was very nice and my bed was new. No signs of bugs and it was a quiet stay.,Rumor
4065,A must visit for breakfast or lunch. Lota of locals. Sticky buns were so delish. All pastries are great. Fun atmosphere on the bay in old downtown Homer.,Rumor
4066,Better stores then Mendenhall Mall,Rumor
4067,A nice friendly place to good food.,Visited
4068,Restaurants are very expensive and hotel and linens are showing their age and wear,Rumor
4069,"This hotel isn't bad. Good customer service, clean entrance and hallways, and usual efficiency sized rooms. Not bad considering it is located downtown of Anchorage.",Visited
4070,One of Juneau's best places for breakfast.,Rumor
4071,"Great for winter sports, pleasantly surprised at the bike park given it's pretty new, can't wait to see what the future holds for the mountain!",Rumor
4072,Eat fresh!,Rumor
4073,"Great coffee and their cold brew coffee is especially good. It's a little dated but the staff is friendly and makes good coffee.

So far it is never burnt or unmixed with the syrup sitting on top of the cream, which always makes me furious when the coffee  cost so much. I like that there is a drive thru and a cafe depending on what you prefer.",Rumor
4074,"Wonderful after mcd's fiasco. A foot long anything is 2 meals for me at the same or less than 1 meal at the arches place.
5 stars, excellent service.",Visited
4075,"Great vew, great service and the food was what i expected, delicious.",Visited
4076,Great and fun home decor items and Alaska themed clothing! This is a spoil yourself shop! 💕💕💕,Rumor
4077,"Food good, music to loud",Visited
4078,"Kenai River Brewing is fun with real good food and they brew there own beer! You order food or beer then find a table to sit and your food will be brought to you. The fun part is if you can't find a table of your own, well go sit anywhere and meet someone new!",Visited
4079,Very nice tourist attraction. I'm a resident of Alaska. First thing you see is the big paddle boat - it needs lots of TlC,Rumor
4080,"A beautiful national park. Definitely do a day cruise if you can, it's such an inaccessible place for cars and on foot for most people.

If you can take a few days or weeks off to backpack in, you can see a lot more, but since the park is a large part water and marine wildlife, I'd still recommend a cruise to complete your experience.",Visited
4081,Great place food is good. You have to try the Diablo bread if you like food a little spicey. The craft sodas and beer are excellent as well the only downside to this place is you have to wait a long time to be seated so go early.,Visited
4082,The woman who was our cashier and simultaneously making sandwiches was so kind!,Rumor
4083,I was able to register online. I was able to set an appointment online. The people were friendly. Followed strict guidelines for Covid-19 protocol. I was pleased with how thorough the physician was to give the necessary medical care I needed. Thank you Urgent Care.,Rumor
4084,"Having the birthday party here for my daughter is the best decision I’ve ever made. Helpful staff, online forms making life easier  for sign up and invitation. More than half of the party is first timer and already having fun!

We’re making plans for coming here again for the next party!

Tips: Don’t forget to wear comfortable sports attire, take your time with kids, have breaks in between and enjoy your time here!",Rumor
4085,The wonders of nature,Rumor
4086,Generous food portions.  Great food.  Waitress wore a ready smile and made sure we were taken care of.  The sampler plate was wonderful.   The chicken sandwhich was very satisfying with a good portion of fries.,Visited
4087,Customer Service is Excellent...,Visited
4088,Good enough,Rumor
4089,Excellent poutine and French onion soup! The Scotch Ale was a good match as well.,Rumor
4090,Good food but the service was slow - it was Easter brunch so I assume it's not usually like that.,Visited
4091,"Napa on Loftus Road! Has the;  ""Real Napa Know How!""  Staff has treated me great and my business with greatness!",Rumor
4092,I like this bar  not always crowded like peanut farm the food prices are bit high but there is lots of room,Visited
4093,Best picnic and family spot in Fairbanks. Free admission. Great party venue options. Always clean.,Rumor
