Index,Review,Label,Manual Advert Label
5142,"Probably the best Texas Roadhouse I've been to.  All 5 steaks we ordered were cooked perfectly, even though they were all different.",Advertisement,Advertisement
5143,ok,Insufficient Context,Legitimate
5144,They do a great job here....my go-to car wash in the valley!!!,Advertisement,Legitimate
5145,The staff are so helpful here! If they don't carry what you need they're helping you figure out where you can get it. Can't recommend them enough!,Legitimate,Legitimate
5146,The staff was totally cool and did a good job given the place is falling apart,Legitimate,Legitimate
5147,"Never stands to its Seattle counterpart, and for such a large department store, they never have a good pan selection, let alone for tall women .",Legitimate,Legitimate
5148,Lots of choices,Insufficient Context,Legitimate
5149,I have been visiting this establishment on and off for more than 20 years.  I have yet to be disappointed in regards to customer service or the quality of my washing.,Legitimate,Legitimate
5150,Amazing food with a twist.,Advertisement,Advertisement
5151,I love taking my shephered  Oakley here! He gets out all his energy during day care and they always do a good job on his bath.,Advertisement,Advertisement
5152,Food is consistent however service has fluctuated but on my last visit service was great,Advertisement,Legitimate
5153,IT'S COSTCO,Insufficient Context,Legitimate
5154,"Just walked out.  Horrible service and not sanitary at all.  Reuse glasses, do not wash. 1st brewery I have had to walk out of in Alaska.  Ugh!  #disappointed",Legitimate,Legitimate
5155,"Salesman, Brian, was very friendly and informative. Great place to test drive and buy a vehicle.",Advertisement,Legitimate
5156,We were absolutely delighted with our food selection and plan on returning . Felt healthy and not overfilled. Brussels sprouts side and swiss cheese burger.mmmm,Legitimate,Legitimate
5157,Super big portions and very good food.  Huge menu anyone can find something they like.,Legitimate,Legitimate
5158,They had everything I wanted and then some.,Legitimate,Legitimate
5159,"Every time i have an issue that needs some extra attention, Chris and his crew have gine the extra mile to accomodate me. Thanks..",Legitimate,Legitimate
5160,Always good customer service and good food,Legitimate,Legitimate
5161,"Nicest theater I have been in Alaska, seats super comfortable, screen were concave so good veiws from any angle. Very impressed",Legitimate,Legitimate
5162,All employees are great. They have good selection of hair dye colors. Their business hours are awesome and they are in a good location.,Advertisement,Legitimate
5163,Delivery was great and pizza 🍕  was yummy,Advertisement,Legitimate
5164,"The bagel sandwiches are outrageous! Great great food, prepared with lots of flavor and giant portions. I haven't tried the pizza yet but each one that was brought past made me want to join the table where it was headed. I'm looking forward to returning.",Advertisement,Legitimate
5165,The only gas station in town. A bit pricey but the service is usually fast and the gas attedants are friendly.,Legitimate,Legitimate
5166,I went for the food bank music festival.  It was great.,Advertisement,Legitimate
5167,Always has shirts and shoes I like,Legitimate,Legitimate
5168,Great rafting and guides,Advertisement,Legitimate
5169,"Sign on the door says they are closed for remodeling, but the building has been locked up for months with no sign of activity whatsoever day or night. I've never seen a restaurant magically remodel itself without people working on it. They appear to be closed for good or at least for reasons other than a remodel.",Legitimate,Legitimate
5170,It's okay. I wouldn't call it fine dining but the price suggests the owners and patrons think it so.,Legitimate,Legitimate
5171,"Fast service, friendly staff and decent food add up to a good fast food dining experience. Their flavorings and quality has degraged over the years, so one of my stars is due to nostalgia and memories of what they used to taste like.",Legitimate,Legitimate
5172,Great,Advertisement,Legitimate
5173,Very convenient for Esterites.,Insufficient Context,Legitimate
5174,Great place to learn the history and culture of Alaska.,Advertisement,Legitimate
5175,Found shiny kid beads and had a decent selection.,Legitimate,Legitimate
5176,I've gotten relief within days of visiting the Back and Neck Center. The staff is friendly and understanding for those not used to chiropractic care. I'm migraine free 7 days!,Legitimate,Legitimate
5177,Delicious food. The mushroom burger was amazing.,Advertisement,Advertisement
5178,Has wild chairs,Insufficient Context,Legitimate
5179,"Classic scenic spot along this Scenic Byway, perhaps one of the very best! It's aptly named as at the appropriate times Beluga whales can be spotted from here. There are many other wildlife around the Seward highway to be admired. Its quite windy here so would reccomend having some warmer clothes available. Even though it's a popular place, usually it's not too busy. Caution at this turnout always wise. Do enjoy!! This is the best! =)",Advertisement,Advertisement
5180,Was in the neighborhood for an appointment and stopped in for lunch. Interior is quite clean and comfortable. Vibe is welcoming and one I would return for. Interested to see how this place is at night. They have a clean and well kept dart area which I appreciate. Brian was the bartender who recommended an excellent house dressing and gave polite service. I live on the opposite side of town but I will probably venture this way again.,Legitimate,Advertisement
5181,Most beautiful spot in Anchorage!!,Legitimate,Legitimate
5182,"Love their service department. Used to go to Lithia Dodge on Parks hwy, but their service department has steadily gone down hill.",Advertisement,Advertisement
5183,Cheap place,Insufficient Context,Legitimate
5184,Great food and watch eagles fly by . Great views of the bay.,Advertisement,Legitimate
5185,"Visited mid July
Good service and decent food
Burgers were the special that day and my husband enjoyed it
Pretty basic food - lots of vegetarian options",Legitimate,Legitimate
5186,The cheap cost of seeing movies here gives this a 3-star rating otherwise it would be 1. The theater itself is sticky and dirty and my phone once fell out of my jacket and was stolen here. Used to be in Anchorage people would find a phone and turn it in at the office. It's definitely changing on the east side.,Legitimate,Legitimate
5187,The pastor is a very nice man.,Legitimate,Legitimate
5188,They have a great selection of pets and the staff really are helpful and knowledgeable.,Advertisement,Legitimate
5189,250$ for nonresident. Expensive? There is more options around here.,Legitimate,Legitimate
5190,"Big open space right in the middle of town. Big playground, skating in the winter.. downsides are goose poop everywhere in the spring, and smokers/lurkers hanging around the mini amphitheater when the weather's nice. But a great park to stroll around.",Advertisement,Legitimate
5191,"Extremely impressed with the cleanliness of the place. On first impression you would think it's going to be filthy and smell bad.
The washer and dryer are cleaner than most. There's a public bathroom that doesn't get shut down. But after a certain hour you  need to go around to holiday to use it. Usually quarters are available through the coin machine.

But no. Just the crowds of people are filthy. Homeless/addicts/dealers/and the likes are swarming the parking lot. They don't care about the litter and grab they leave lying around.

But it's not rowdy. But it's not the place to leave vehicles unlocked.  Double check. Lock it up. Put valuable items away.",Legitimate,Legitimate
5192,Always helpful and friendly,Insufficient Context,Legitimate
5193,"It was okay.   Nothing special, but nothing wrong with it either.",Legitimate,Legitimate
5194,Not clean,Insufficient Context,Legitimate
5195,Knowledgeable and have great selection of gear and juice.,Advertisement,Legitimate
5196,"Clean, quiet. Well maintained. Camp ground host was friendly and helpful",Legitimate,Legitimate
5197,My favorite place to camp always beautiful,Legitimate,Legitimate
5198,Bed bath and beyond!,Insufficient Context,Legitimate
5199,Very nice,Insufficient Context,Legitimate
5200,Good diner food!,Insufficient Context,Legitimate
5201,"Excellent service, inventory, haven't tried the repairs but this shop is well worth the visit.",Legitimate,Advertisement
5202,"Great location close to the airport, clean and big , the restaurant have good food and the price is a little bit expensive but compare with other hotels in the area this is cool.
The lobby atmosphere is like a musseum with a lot of things to see. Price is lower during winter. ;-).",Advertisement,Legitimate
5203,Typical McDonald's with good service.  Love the Denali Mac.,Advertisement,Advertisement
5204,Nice place to sit or walk around.,Legitimate,Legitimate
5205,They have some amazing ice cream!,Advertisement,Advertisement
5206,"Fast friendly service, and great ice cream for a decent price!",Advertisement,Legitimate
5207,$9 for half a hot dog with no fries... Tasted alright I guess? Super disappointed. (12oz for perspective),Legitimate,Legitimate
5208,Good service and food,Insufficient Context,Legitimate
5209,Excellent service and great food. Family friendly!,Advertisement,Advertisement
5210,Great place for parts and things.....,Advertisement,Legitimate
5211,Great gym with tons of equipment. Open to members 24/7,Advertisement,Legitimate
5212,Best Chinese food I've ever had!!,Advertisement,Advertisement
5213,"Good fine dining downtown, the taste isn't consistent so sometimes its better than other times. Nice bar.",Legitimate,Legitimate
5214,Always satisfied with service.,Insufficient Context,Legitimate
5215,decent budget haircuts.    imperfect but decent,Legitimate,Legitimate
5216,"Will not ever use, asked for a rough estimate on a torque converter would not even give me any information without having the vehicle in their hands. I’m not paying for a tow unless I know roughly how much it’s gonna cost me. What kind of fool do they think I am",Legitimate,Legitimate
5217,Love it.,Advertisement,Advertisement
5218,Great service. Only place in Anchorage with elote' and tacos Al pastor. Food had great taste too,Advertisement,Legitimate
5219,"After their recent move (right next door to the old location) and a name change (That Wings Place), the new restaurant space is amazing. Bright and spacious, with 11 TVs, all new tables and a salad bar, That Wings Place is now perfect for gatherings or parties. Still the best wings in town, and subs to order.",Advertisement,Advertisement
5220,"Always fun for the kids. You know the prices are fair, when there's a long line :)",Legitimate,Legitimate
5221,They screw up the order every single time at the drive through. Go inside and it's fine.,Legitimate,Legitimate
5222,Great place,Advertisement,Legitimate
5223,"Good prices and a wide range of products. Clothes, electronics, camping goods and of course all kinds of food.",Legitimate,Legitimate
5224,"This place has the best bbq chicken pizza I have ever had. It is expensive though. Still, it is worth it.",Advertisement,Advertisement
5225,Every terminal assistant that I dealt with was very helpful and polite.,Legitimate,Legitimate
5226,This was my second time here. Mia served us both times. She's so sweet and attentive. Food is great and came out fast. By far our favorite place to eat at in Anchorage.,Advertisement,Legitimate
5227,Nice park. Lots of trails. Well maintained. Sprawling.,Legitimate,Legitimate
5228,Great selection,Advertisement,Legitimate
5229,Convenient. Nice employees. Good coffee,Legitimate,Legitimate
5230,"When you are here, you are family. Such a fun, social place for brekky.",Legitimate,Legitimate
5231,"Terrible customer service!!!!!! Always giving people the run around

They also hung up on me as well!!!!

I am very surprised they are still in business

I",Legitimate,Legitimate
5232,OMG!,Insufficient Context,Legitimate
5233,"There is a clerk here named Steve and he is the biggest jackass. He made inappropriate comments, thinking he was funny, and then would stare at me to see my reaction. He wasted my time. It was extremely bizarre

I asked for th supervisor's name and then left because I was so upset.  I tried calling; no answer. I tried emailing; no answer.

I wish negative stars was a possibilty",Legitimate,Legitimate
5234,Love uncle Joe's,Advertisement,Advertisement
5235,"The bar to go, not slow but not to fast paced, a good place for everyone.",Legitimate,Legitimate
5236,Can't beat the five buck lunch unless it's the 6 buck lunch.,Legitimate,Legitimate
5237,"This store is pretty much like Walmart. It has everything in it, even furniture and electronics. This store does a good job of having checkout lines open",Legitimate,Legitimate
5238,What's not to like?  Great service and food.,Advertisement,Legitimate
5239,Cute little cafe with great food!,Advertisement,Legitimate
5240,"Gross food, horribly outdated decor. I had Stromboli that was disgusting. The filling was just bland sauce and hamburger meat. It had the taste and texture of something that had been microwaved. My daughter's fries also seemed reheated and buffalo chicken nuggets were soggy. Don't go.",Legitimate,Legitimate
5241,"found myself a nail lady here in AK!!! She keeps you entertained and actually talks to you, and gave me the best cleaning I’ve had in awhile since arriving here in Anchorage (I’m originally from AZ)... She’s originally from AZ herself and actually kept the prizes from AZ! Affordable and the cleaning was not painful AT ALL!!! I was hesitant with writing this review because I don’t want her to be fully booked LOL. Buuut, I gotta share(:",Advertisement,Advertisement
5242,The Powerhouse has some great sea food. Definitely check it out.,Advertisement,Legitimate
5243,"This review is way past due. Pita Pit has been open just 9 months and already I’ve achieved VIP status on their app!!  I’m always greeted with a hearty hello before the door closes as I walk in.

Staff is friendly and even has my “regular” order memorized. It’s good to throw them a curve every now and then. But they always handle it well.

Great value for the price. It didn’t take me long to figure out that double meat isn’t required to fill me up. They always give you plenty!!",Advertisement,Legitimate
5244,Excellent place for the kids,Legitimate,Advertisement
5245,Easy to see how locals and tourists can wine and dine.....at any tastes any time...at the end of the road!,Legitimate,Legitimate
5246,This place has everything you need! Great sandwiches too!,Advertisement,Legitimate
5247,Great place to visit if your on an adventure.,Advertisement,Legitimate
5248,"(Translated by Google) Almost all home repair kits are available.

(Original)
거의 모든 집고치는 재료들을 구할 수 있다.",Legitimate,Legitimate
5249,Great view anytime of the year. Besides you can see planes fly overhead when they come in to land,Advertisement,Legitimate
5250,"I have never had a bad meal/experience at South, from the managers to the food to the staff it is obvious that quality service and delicious food are the cornerstone of this restaurant!",Legitimate,Legitimate
5251,"Very expensive, but a great selection. I've tried to find normal things like lentils or barley at other stores, and no luck. Thankful to have options here!",Advertisement,Legitimate
5252,Great Thrift store!,Advertisement,Legitimate
5253,"Huge selection of fun, interesting, and fairly priced knicknacks and home decor souvenirs. They also have icecream and plenty of things to take pictures of/with.",Legitimate,Legitimate
5254,Get their Safeway app! It will save you some when you shop.,Legitimate,Legitimate
5255,It was fast,Insufficient Context,Legitimate
5256,Had a great time!,Advertisement,Legitimate
5257,Carnitas are the way to go.,Legitimate,Legitimate
5258,"Solid experience, considering that we are up in the mountains and 2+ hours from Anchorage.

Glad they have hot water and wifi in the lounge. Great views of the mountains too and nice shuttle between the  buildings.

Wish they were more upfront about the included benefits though - there is a spa.

Also, wish that there were better food options and that the rooms had wifi too.",Advertisement,Legitimate
5259,Awesome!,Advertisement,Legitimate
5260,Great pizza and beer place. Can get really busy.,Advertisement,Legitimate
5261,Best pizza in the valley,Advertisement,Advertisement
5262,Very good food and they treated me like family. Also they love my aunt and uncle,Advertisement,Advertisement
5263,Great service,Advertisement,Legitimate
5264,fun friendly antique shop,Insufficient Context,Legitimate
5265,"Very nice store for all your outdoor gear and activity gear in Anchorage. Kind of a one shop stop for all your fun outdoor supplies. The items change with the seasons a bit. Ski gear is up front and center when I stopped by and decided to write this review, and boy do they have some nice stuff. I get stuck in their camping gear sections every time I wander into this place. Don't be shocked by the prices, they cary nice stuff, and you generally get what you pay for.",Legitimate,Legitimate
5266,Always happy with my cuts♡,Legitimate,Legitimate
5267,"Delicious breakfast burritos, fantastic coffee (mind you,  I also had the worst coffee of my life here ; new barista day I guess).  Overpriced food for what it is, but quiet, cozy atmosphere.",Advertisement,Legitimate
5268,"Very good food, and fulfilling, and reasonable prices",Legitimate,Legitimate
5269,I am from the south and used to Hardee's. My friend said coffee was old but my food was alright. Not as great as I expected.,Advertisement,Legitimate
5270,Friendly staff. Especially the guy with combed back hair! I don't mind spending the extra couple dollars for convenience.,Legitimate,Legitimate
5271,"This is not a second rate, day old, bakery. They sell fresh bread and goods at almost half the cost you find in the stores locally but you can get a better price if you want the older baked goods. I don't because we don't eat it fast enough.",Legitimate,Legitimate
5272,Absolutely love it,Advertisement,Advertisement
5273,"(Translated by Google) I learned yesterday that there are three Kentucky Fried Chicken shops in Anchorage.

(Original)
앵커리지에는 3곳의 켄터기 후라읻 치킨가게가 있다는 것을 어제 알았습니다.",Legitimate,Legitimate
5274,"Brand new facility. Beds are comfy af. Lobby is spacious and welcoming. Included bfast was basic but well presented and tasty. Has a pool, only one in town. A step or two above anything else in Valdez.",Legitimate,Legitimate
5275,Quality care.,Insufficient Context,Legitimate
5276,Very fun tour,Insufficient Context,Legitimate
5277,"Basically help ur self, no one of the employees know where any of there products are",Legitimate,Legitimate
5278,First time having Little Millers. I ordered a Green Apple cone and it was delicious!,Legitimate,Legitimate
5279,"inexpensive pet friendly hotel, okay location easy to find. Will stay again in the future.",Legitimate,Legitimate
5280,We went to a Concert and it was a nice place to go.  The food looked great.  I just wish they served more than just beer and wine.,Advertisement,Legitimate
5281,"The food is great, especially the elk green chili cheese burger!",Advertisement,Legitimate
5282,Loved the skinny mini. What a great bagel! Super nice people.,Advertisement,Advertisement
5283,Great place for smoked salmon,Advertisement,Legitimate
5284,"Stopped in for dinner after a long day of fishing. It's a great little place with a lots of history and old photos. Food was decent and at a reasonable price, especially when you consider the fact that you're in Chitina.

I'd recommend the place to anyone stopping through.",Advertisement,Legitimate
5285,Fun to watch planes take off and land but not much else to do here,Legitimate,Legitimate
5286,"Wonderful place, wonderful people... they let my band practice there on Thursdays...",Legitimate,Legitimate
5287,"Dave (the owner) is a super nice guy, and is very knowledgeable about guitars and other string instruments. I went in to get a new set of strings and ended up staying for almost 45 minutes, just looking around at his records and the instruments he had hanging around the room. I'll definitely be coming back here the next time I need something for my guitar!",Legitimate,Legitimate
5288,Buy one get one free pizza tuesday. And amazing prices everyday anyway. Love there food!,Advertisement,Advertisement
5289,Good people.!!,Insufficient Context,Legitimate
5290,Love this place,Advertisement,Advertisement
5291,Love this place and the people! Always  are friendly and make you feel welcome! The ladies there sure are amazing I enjoy seeing them and visiting!,Advertisement,Advertisement
5292,They had all the stores we were looking for. Clean building.,Legitimate,Legitimate
5293,Nice n clean,Insufficient Context,Legitimate
5294,"(Translated by Google) Yuuuummmy !!!!!

(Original)
Yuuuummmy!!!!!",Legitimate,Legitimate
5295,Cool place to go if you are around fairbanks. Hot springs!,Legitimate,Legitimate
5296,Very very overpriced!!!!,Insufficient Context,Legitimate
5297,Nice cozy place chill bar great appetizers.,Advertisement,Legitimate
5298,"Best sushi place, I know in the Anchorage area, I had been to every other sushi place and this so far is the best price wise, taste wise, and customer service.

My favorite is the FBI roll, gyoza, and the deep fried Oreo.",Advertisement,Advertisement
5299,The tuxedo mocha is one of my all time favorites. Tasty drinks and food items every time.,Legitimate,Legitimate
5300,Self wash is WAY too expensive,Legitimate,Legitimate
5301,"Service was great and the pizza was even better. The gluten free crust is the best we've ever had, anywhere. Bonus feature, you can get ice cream from the shop next door and skip the long line.",Advertisement,Advertisement
5302,Did not like the price service not bad,Legitimate,Legitimate
5303,Great place to take the kids,Advertisement,Legitimate
5304,"I like their setup of the store and they offer daily deals, Whats not to like?",Legitimate,Legitimate
5305,"(Translated by Google) Everything you are looking for, type a, shoes, accessories, home decor and much more.

(Original)
Todo lo que buscas,tipo a, zapatos, accesorios, decoración para el hogar y mucho mas.",Legitimate,Legitimate
5306,"I stopped in here after going to Second Run to sell some designer items. The woman at the desk who I later found out was the new owner, was super nice and quickly sifted through my items while I was browsing in the store. I noticed everything was sorted very nicely, the clothes were in excellent condition, and that they had some designer or upscale brands like J Brand, Free People, Marmot, Lululemon, Max Studio, Etc. I noticed a few silk tops and was like wait a minute something is different here. I asked the woman who was going through my things if the store happened to be under new ownership. She said actually yes it is and she is the new owner. I told her the changes I noticed and how refreshing it is to see how clean the items are and the nice brands they're taking. I usually stick to the designer consignment places but will definitely be back.",Legitimate,Advertisement
5307,"This place was very dead when we got there, we went for dinner at around 7:00 p.m.So I thought we were going to get our food quickly. We ordered nachos and traditional wings. Took almost an hour to get our food, the wings were soggy and not cooked. I was not going to send the food back I do not do that, I like my wings crispy so I took them home and cook them. They're also lots of flies on the window that they sat us in a booth. I usually like Buffalo wild wings but this location is not going to last if they keep up this sloppy service. They are after all known for wings so you would think they'll know how to cook them. I now see why the place was dead.",Legitimate,Legitimate
5308,Good to look for fishing trips,Legitimate,Legitimate
5309,Great food. Great service from awesome people!!,Advertisement,Legitimate
5310,"I PHOkin love their food!!!! Its a must try, Im on a Pho kick and this is my favorite.",Advertisement,Advertisement
5311,I think all of the cooked food is delicious.  I'm just not a fan of sushi. I love that they provide both options at a great price!,Advertisement,Advertisement
5312,"Outside Seating!

If you're not sure what you're in the mood to eat for dinner then you need to visit the FireTap Alehouse.  You'll find everything from Mac 'N Cheese, salads, pizzas, and steaks.  The booths are very comfortable and there is plenty of room around you if you sit at a table.  No matter where you sit you'll be surrounded by televisions with sports!  Bring your friends and eat at the bar you don't want to wait for a table.  The food tastes great and the beers are cold.  Parking is limited, so come early.

If this review was helpful please click the Like button.

August 2019
(1) Widmer Hefeweizen Beer (Pint): $4.00
(1) Back Country Blueberry Beer (Pint): $6.50
(1) Nacho (Small): $13.75
(1) Sicilian Pizza (10""): $16.50
(1) Island Style (10""): $16.50
Tax: $0.00",Advertisement,Legitimate
5313,"So, Simba is an old man that needed a shave, matted fur and very uncomfortable. He's much happier and struts, his stylish do🤗",Legitimate,Legitimate
5314,"This place seriously sucks. These reviewers are telling the truth. They never deliver my packages. Ever. I really hope management notices our complaints and fires these people, or at least gives them a lesson on customer service. It's gotten to the point that I purposely avoid having packages shipped to me via USPS. They either leave an orange notice, leave nothing at all, or mark it as undeliverable as addressed, which is the worst of all. In multiple instances of my mail being ""undeliverable,"" the addresses have all turned out to be 100% legible (printed slips..). I believe the courier just doesn't want to walk his lazy ass 30 feet to the door. It's not too hard to believe, either, because when you go to their location to pick up your ""undeliverable"" packages, you realize you are dealing with people that I honestly believe would prefer being dead than working at USPS. Laziest, most apathetic human beings I have every encountered. I truly despise even being in the same proximity as these losers. Can't stand it. Not to mention the inconvenience of having to find time to drive over there during their limited open hours. In summary, find somewhere else. If this is your designated post office for delivery, either make sure your house is as obvious as the empire state building, with security cameras facing the mailbox and a sign reading ""DELIVER OR DIE"", or ... use a different carrier. I'd rather meet the devil for my mail than these people. And I thought I was bad at work. Johnny out.",Legitimate,Legitimate
5315,They are always on point making sure your in and out with what you need.,Legitimate,Legitimate
5316,Went in for a cut and style and Leah was amazing. I can't remember the last time my hair looked this good after a haircut. The way it lays and naturally styles itself is amazing. The prices are beyond affordable. Cannot say enough good things about this salon. I will definitely be back.,Advertisement,Advertisement
5317,Go for the steaks,Insufficient Context,Legitimate
5318,This store has so many European foods I love & many items you just can't get at regular grocery stores.,Advertisement,Advertisement
5319,Nice ski slopes but kinda awkward bus system,Legitimate,Legitimate
5320,Simply amazing! Coming to Alaska for the first time and experiencing winter with such stunning views is a bliss!,Advertisement,Advertisement
5321,No complaints,Insufficient Context,Legitimate
5322,Best coffee in Anchorage and the most knowledgeable baristas.,Advertisement,Advertisement
5323,Good service & food but took 20 minutes to get my food,Legitimate,Legitimate
5324,"Amazing !! place ,found Crab legs done right.",Advertisement,Advertisement
5325,"Super awesome pizza, amazing cheese, terrific sauce, fantastic friendly staff! Some wings were delicious and the bread stick were the best I've had in a VERY long time, my wife love the beer cheese too. We will be back again:) bathroom and decor was fun as well.",Advertisement,Advertisement
5326,Good food,Insufficient Context,Legitimate
5327,"cute place. good location, The ice museum is just next door.",Legitimate,Legitimate
5328,"Got what I needed, but lots of empty shelfs, rude shoppers, and lots of people asking for handouts outside.",Legitimate,Legitimate
5329,Very nice staff and good service,Legitimate,Legitimate
5330,It's Wal-Mart,Insufficient Context,Legitimate
5331,Purchased vehicles from them in the past and learned why people call them Aladka Sales and NO Service.,Legitimate,Legitimate
5332,The food was outstanding and incredibly delicious! The service was awesome! I have allergies and they went out of their way to accommodate me.  They were very polite and kind and they made us feel like family.... I am so impressed! Big portions too!,Advertisement,Legitimate
5333,Amazing Food and definitely a local favorite,Advertisement,Advertisement
5334,Food is consistently good. Excellent customer service.,Legitimate,Advertisement
5335,Yummy,Insufficient Context,Legitimate
5336,Best freaking coffee shop in the world!!!,Advertisement,Advertisement
5337,The facility was clean and beautiful. We saw snowhares right outside our room and it's a short way away from Denali national park. The room service staff were respectful and helpful. The rooms are quiet and beds were comfortable. We enjoyed our stay.,Legitimate,Legitimate
5338,"Beautiful, but no whales",Insufficient Context,Legitimate
5339,Food was great!,Advertisement,Legitimate
5340,Delicious pizza! Funny T-Shirts:),Insufficient Context,Legitimate
5341,Need to have the roads fixed.,Legitimate,Legitimate
5342,Very helpful,Insufficient Context,Legitimate
5343,Love this place. Very educational.,Advertisement,Advertisement
5344,The lady at the service counter misspelled simple words.walked up to the counter and she Was sleeping and nodding off. Wasted 25 minutes of my time. Extremely unacceptable.,Legitimate,Legitimate
5345,They always do a great job and very professional,Advertisement,Legitimate
5346,Cast iron pizza. How could it be any better,Legitimate,Legitimate
5347,Delish food with a bit  of Cajun flair,Legitimate,Legitimate
5348,T he best customer service and best eclair in Anchorage,Advertisement,Advertisement
5349,Needs to restock other then that easy shopping,Legitimate,Legitimate
5350,"One of our favorite restaurants, it's where Mike proposed to me and I accepted.",Legitimate,Legitimate
5351,Great deep fried halibut!,Advertisement,Legitimate
5352,Extremely slow...not friendly,Insufficient Context,Legitimate
5353,THE BEST!!! Oh my god the food here is amazing. Staff is friendly and fast.,Advertisement,Advertisement
5354,"Service is great, but the quality of the veggies leaves something to be desired.",Advertisement,Legitimate
5355,"Nice tourist shop for everyone, live Rain-deer next to the building. Santa Clause house packed full of T-shirts and gifts for the family and friends. There was Mr and Mrs Santa Claus available for photo shot opportunity for free.",Legitimate,Legitimate
5356,Helpful people,Insufficient Context,Legitimate
5357,Good place for Fairbanks visitors to board their pets.,Legitimate,Legitimate
5358,Yummy food,Insufficient Context,Legitimate
5359,Service was good.,Insufficient Context,Legitimate
5360,"I give 5 stars for the food, the taste, the ordering ONLINE, and usually for the delivery service.  In store is a completely different story.  Ordering online and picking up in store is only slightly better.  IMO this store should go 100% delivery and online orders because the people making the pizzas are great but the people at the counter suck. They're rude, they mumble, they have zero business dealing with other people.  Seriously.  Order online and let them bring it to you.",Advertisement,Legitimate
5361,Almost time to move to alaska,Legitimate,Legitimate
5362,21.99 gets you a 13.5 inch pizza. With the $3 deliveryfee that's 1.85 per inch!,Legitimate,Legitimate
5363,Wonderful place to eat. Good food and friendly service. Beautiful view.,Legitimate,Legitimate
5364,As someone who lives down on the Kenai its rare we ever get to have Olive Garden so it is ALWAYS a treat to have some when in Anchorage,Legitimate,Legitimate
5365,The best,Advertisement,Advertisement
5366,In process of rearranging shelving; low on inventory.,Legitimate,Legitimate
5367,They take good care of you .,Legitimate,Legitimate
5368,"They messed up our order, but when they realized it (without us having to say anything) they fixed it and made it right.",Legitimate,Legitimate
5369,Everything is delicious,Insufficient Context,Legitimate
5370,Great place,Advertisement,Legitimate
5371,"Best place ever! I make this pasta dish with sun dried tomatoes, kalamata olives,capers, feta, and parmesan. Costco has all the supplies I need and great prices!!",Advertisement,Advertisement
5372,Great service,Advertisement,Legitimate
5373,its ok,Insufficient Context,Legitimate
5374,They always seem more expensive then Fred Meyer's and it's a small store with limited choices. Always dirty. Got rid of self check out and no express lines are ever open. This place keeps getting worse.,Legitimate,Legitimate
5375,There is a lot of wilderness animals on the loose. It is an awesome view of Mount McKinley surrounded by clouds.,Advertisement,Legitimate
5376,Love the new chairs!,Advertisement,Advertisement
5377,Nice trail system. Good view of the birds. And the train runs along the back.,Legitimate,Legitimate
5378,"Good work, owner is a little high strung every interaction I've had, but the young kid pulled the 4th star for their company.  Great customer service attitude goes a long way and is noticed.",Advertisement,Legitimate
5379,Great coffee and good ppl,Advertisement,Legitimate
5380,Enjoyed the Greek Omlet for breakfast!!! :-),Legitimate,Legitimate
5381,"Excellent, honest, and thoughtful service. We have gone there for years",Legitimate,Advertisement
5382,"We loved walking around this historic sight, with the views of Hatcher pass, don't miss out!",Advertisement,Advertisement
5383,Love,Advertisement,Advertisement
5384,Good food Good service!,Insufficient Context,Legitimate
5385,"Nice store, I knew what I was looking for but wasn't greeted or asked if I needed help. Cashiers was nice, store is pretty easy to navigate.",Legitimate,Legitimate
5386,Tuesday,Insufficient Context,Legitimate
5387,"Alaskas home improvement stores could do a lot better with selection,  but we take what we can get !",Legitimate,Legitimate
5388,"Glad they have another Cinnabon near B terminal, don't have to worry about security line",Legitimate,Legitimate
5389,"For a Guinness fan, this is THE place to go in Fairbanks for a perfect pull.  Met an old friend there and had a great time at the bar. Lot of history in the old building, barely escaping the bridge remodel a few years back. Too bad they went the no smoking route but wouldnt stop me from going.",Advertisement,Legitimate
5390,"Pizza, sandwiches and salads are all tasty and fresh. Service was polite but a little slow considering there were only three tables with people.",Legitimate,Legitimate
5391,Amazing,Advertisement,Advertisement
5392,"I have not been disappointed yet!
Great service and great attitude!",Advertisement,Legitimate
5393,Pretty good texmex.,Insufficient Context,Legitimate
5394,Fast service,Insufficient Context,Legitimate
5395,"It was OKAY. Not bad, but not the best. I guess being from a big city and growing up with a huge aquarium, I was expecting to see more. They didn't really have too much to offer and the food place was closed inside of the aquarium. The ride up was pretty nice to see the scenery. I don't think it's worth the ride from Anchorage. But I've heard that you have to have more planned than just the aquarium when coming out to Seward. Maybe we'll give it another chance before we  change duty stations and plan more when going out there.",Advertisement,Advertisement
5396,NICE,Insufficient Context,Legitimate
5397,Love their Bernie Mac!!,Advertisement,Advertisement
5398,Best rootbeer and good burgers. Only fast food burger I will eat anymore. The rootbeer is always worth the trip.,Advertisement,Advertisement
5399,It carries everything you need if you live in the area. It's overall a clean store with friendly employees. I like the fact I can get fishing gear here.,Legitimate,Legitimate
5400,A great place for friends and beer!,Advertisement,Legitimate
5401,"Refreshing, healthy, and delicious, but kind of expensice",Legitimate,Legitimate
5402,Always helpful.,Insufficient Context,Legitimate
5403,"Disappointed that the lay away plans have be taken away , I use to purchase many firearms here .1",Legitimate,Legitimate
5404,"It's like having a snow city cafe in the South end.  Modern yet classic, a surefire breakfast or brunch destination. Be prepared to wait for a table",Legitimate,Legitimate
