,0
1502,just the place alone is worth 5 stars
1503,"Was pleased with the service, with my purchase and the help we received. Great store to shop and the online site is pretty accurate to the numbers of each item available in our store."
1504,"Have to give them a $100 cash deposit, actual cash unless you use a credit card. Rooms are about 97 degrees when you get there. You must turn on a air conditioner, put a fan in the window and in about 40 min to an hour it's cooled off. I would not recommend this hotel to anyone. I'm upset I paid a $100 for the room, if it wasn't so late and I wasn't so tired I would have gone somewhere else   Oh, and NOTE, NO REFUNDS. On a positive note, the bar tender who is also your desk clerk, let us know that if you lock yourself out after the bar closes at 10pm there is no way to get back in the building and no one to call to let you back in.  she was however,  very sweet and had great customer service"
1505,cross the creek away from the wood line
1506,Great customer service I only give it four stars because it’s a small place not to many choices or options.
1507,Just love the produce.
1508,"It's a beautiful park with amazing views!  If you are lucky you may even see whales, otters and sea lions."
1509,Have been doing janitorial services for the borough over 6yrs
1510,"I dont know if this chick really liked my husband, but she gave us $35 off a pair of shoes, so it made our day."
1511,Would be a top priority if I was a tourist and really good tea
1512,"Fun atmosphere and good food if you are looking for the out of the ordinary fare like elk, moose and other northern treats.
The service was good and the food delicious."
1513,Actually nice people in here that served with a smile
1514,Yummy 😁
1515,Shout out to the famous yellow smiley face
1516,Beautiful
1517,Like the 8 dollar - 2 whopper deal - not a fan of their fries - YUCK
1518,Many interesting fish. Seals and sea lions we're impressive. Staff was friendly and taught us about octopodes
1519,Good food
1520,"Haven't been in a while, customer service is not as good as it used to be."
1521,"Awesome place! Cool toys and amazing selection of board games. 40k is here too, if that's what you are into."
1522,"Awesome service, my daily place to go, fast service and awesome food, sushi, breakfast all day"
1523,i beleive that someone sneezed on my pizza that i got on 12/11/15 awful. I caught a cold after eating it.  The managers are more than accommodating
1524,Awesome food. Great beers on tap. Sports on the TVs. What more can you ask for? How about the best bloody mary in town! They have it and it's served with a mini Grilled cheese sandwich!!! YUM!
1525,These people really care about our earth and its creatures!
1526,I think for an education and rehabilitation center it's pretty nice.  The entrance fee is a little pricey but worth it to save the Marine wildlife.  If you are in Seward go visit.  It's worth the trip.
1527,Enjoyed their tacos al pastor and the fish tacos.  The tacos as as close to authentic tacos in Mexico as we've had in Alaska.  Love the horchata rice drink as well!
1528,Standard super 8. Good front desk. The breakfast pickings are pretty slim.
1529,i found an olive in my sandwiches and i didnt ask for them but i love olives so thank you :)
1530,I like the chicken not the prices.
1531,It's a nice place to stay
1532,AmAZING
1533,First class food with a relaxed atmosphere.
1534,"Great service, great informative, kind employees, fast service, sturdy installation. Super nice folks and competitive pricing. Will be back !"
1535,It was okay
1536,"Very tough trail, but worth it! The views are astounding!"
1537,Great outdoor fun!
1538,"Ben the security guy is pretty great, cute bartenders. Great prices"
1539,"Fast service, good portions for the price."
1540,The DMV's there you got a couple hair places and of the best Chiropractic in the state of Alaska
1541,"Good crowd, good drinks, and decent prices.  They do trivia during the winters that's loads of fun."
1542,fascinating and informative
1543,We had poor service. Always hate to say it. Did not appear to be the servers fault. Would be hesitant to try again.
1544,"Fast and Friendly
Great Prices"
1545,Nice staff doing what they can to help people
1546,Oooooooooweeeee they got the best food in da world!! I love their buttery corn and potatoes!! Especially the shrimp and steak. Definetly recommend if you’re craving for steak and what not.
1547,Yes
1548,I haven't eaten there in years but went there for a business lunch.  The service was good but the food wasn't.  I had the whiskey burger.  The meat paddy was cooked right and it was juicy.  But something was way off about the taste.  It was like the sauce had gone bad.  I always thought Applebees had good food but this changed my mind.  It was the worst burger I can remember having. On top of that it didn't set well with my stomach.  To be fair.  Other order different salads and enjoyed them.
1549,"Even if you just stop and browse, well worth stopping in."
1550,My family & I always have fun & find what were looking for when we come here for turtle supplies/food. Always friendly & helpful customer service. Thank you!
1551,I've always got great food n services 😊
1552,Cool things about Valdez and Alaska
1553,"Super friendly,  quick service, excellent food!!"
1554,Great food....
1555,"(Translated by Google) I like the store is super comfortable

(Original)
Me agrado la tienda es super comoda"
1556,Love it!
1557,"First time at BurgerFi. The burger was excellent, the staff friendly, aside from some noise from the fitness center upstairs, the atmosphere was nice. The only detracted were the onion rings - they were considerably different from what I was used to, a bit too much onion and I felt they could have used a tad more seasoning in the batter."
1558,Good supply of products. Good staff.
1559,"(Translated by Google) Tasty dishes!

(Original)
Sabrosos platillos!"
1560,"Modern feel to it, reminds me of a place you'd find in Seattle. Great contemporary art and design. Absolutely excellent food! No waiting for a table or food. Definitely going back!"
1561,This place doesn't grant the online menu and the quality of the food they put out is not very satisfactory as it should be especially comming from a corporation
1562,Great staff
1563,The staff is very friendly and very helpful. I will be going back and telling friends.
1564,"A historic place , quaint n good place for yr week end family time"
1565,Good bar. Good service. Nice rooms.
1566,Always delicious food!
1567,"Very friendly staff. Our order was done quickly, and it tasted great!"
1568,NICE
1569,Been coming here for 6 years. Has to be a reason why.
1570,"Some of the best Mexican in Fairbanks. The food is really solid. Big portions, lots of cheese, meat, and salt. It's essentially everything you're looking from a Mexican restaurant.

Don't come here expecting LA street tacos. Come here expecting enormous portions of whatever you order with enough leftovers for at least one additional meal!"
1571,"Other than Guitar Center and BurgerFi, this mall doesn't have much going for it."
1572,"Seldovia Bay Ferry
I booked my round trip tickets online using my phone to save time.
Seldovia is a charming artistic town.
Vhuntermassage LLC"
1573,"Delicious, quick and relatively cheap. Great lunch spot"
1574,This place is really fun and good for kids
1575,I found the exhibits and historical information  very informative. The museum was absolutely spotless. Some pretty cool equipment. Kids will love it.
1576,"Good for sports, 90% of menu is gross and overpriced."
1577,Applied for a position .. mgr came out and didnt even ask for my name or what I was applying for. Could have been better first thing in the morning. =/
1578,Yummy
1579,A new favorite stop. Friendly staff and its really fun to make up different milkshake flavors. Cinnamon and pear is my next one!
1580,La Mex best Mexican food in town great deals food is great awesome drinks great atmosphere
1581,Great p rice and selection
1582,"Nicest furniture in town, friendly staff and awesome place to work!"
1583,"Very good, portions are huge and love the options. Service is slow especially during lunch hours. Be prepared to hunt down your server. The evening has much better service."
1584,Love turf time
1585,"I had my car detailed by these guys. I've been detailing vehicles of all sizes for around 10 years.

Exterior-

Body had a significant amount of wax that was not fully removed.

Rims still had wax to be removed.

Under the hoodWas still dirty needed a better wipe down before dressing was applied.

Interior-
Skipped the headliner paid extra for that.

Both trays for change and misc items were still dusty with small grains of dirt.

The windows all around looked like they had been wiped with wax microfibers, they're more streaky then when we had it picked up before the detail.

Picked up 40 MINS LATE.

Let's talk business here for a second..If a customer pays you a car payment to detail their vehicle. You should be treating as if it's your vehicle. You know how nice your want it to be if it belonged to you.
If you're given from 9:00am to almost 4:00pm
To complete the vehicle, there's no excuses for.. Dirty windows..Dirty consoles..45percent of wax not wiped off..dirt on the hood..

Now I'll say something nice. Thank you for being able to pick up the car. THEY ALWAYS LOOK BETTER AFTER THEN BEFORE THE DETAIL. I could argue with the owner on this post but I've already seen the responses to the negative reviews..It's more of a battle of experience as opposed to a helping hand or a correction toward corner cutting mistakes."
1586,Great place to shop
1587,Comfortable chairs design is a little different for food
1588,Good sandwich & soup.  BAD waitresses.  My waitress sat down at the end of our counter and the other one braided her hair!!! No hands washed after that little beauty salon trick.  Last time there for me.
1589,Good value & good tasting pizza
1590,Sad part is ....the only sit down 24 hr. Diner in valley
1591,Great pharmacy.
1592,Has some of everything.
1593,"It looks like a dump,  but the food is great and plentiful,  and the price is right.   Been going there for about 30 years."
1594,Nice
1595,"It is extremely difficult communicating with the staff here. It used to be our family’s happy place but since COVID, time and again has proven the staff members to be unwilling to assist with even the most basic requests. For instance, showing up to pick up some books we put on hold and finding one of them to be the wrong book and having a staff member tell us they need 24 hours to walk upstairs and grab the correct book."
1596,Good food. Quick in and out with to go option.
1597,Best 24/7 towing company in Alaska. Price was affordable and we didn't wait very long. The driver was able to give us a ride to where we needed to go.
1598,"Beautiful during the summer and winter, although I wish the trails weren't restricted to hiking in the winter"
1599,Great Staff and Excellent Care from the doctor.
1600,"Great, juicy burgers. Their fries are fresh. You can have them urban style, which means they will cover your fries in cheese & include a dipping sauce. It can get a little messy to eat them like that. I prefer to eat them plain, but ask for truffle aioli to dip the fries in. It is delicious!

On a separate trip, I tried the CEO burger, with had a wagu beef patty.  It was really good. I think next time, I'd prefer to have it without the carmelized onions.

Overall a great place to eat. Good tasting, quality food. And their ice cream cones are great too!"
1601,Meh
1602,I like to give stuff for the store and give it to my pets
1603,"This is a crowded tourist place, to say the least."
1604,The staff was friendly and very helpful. The food was wonderfully presented and delicious.
1605,"Always busy, but drive thru is fast"
1606,Get the double. Worth the price for Anchorage.
1607,The best Thai restaurant in Fairbanks. Small dining area. Short wait to be seated.
1608,"One of my favorite parks for everything and everyone!  Trails, baseball fields, open fields, a nice pavilion."
1609,Exceeded my expectations. Make sure yo make a reservation if you go. I did not mind sitting at the bar for their food. Best food I've had in Alaska so far.
1610,Delicious food. Staff and owners are very customer first and friendly.
1611,The food is fresh and great. The corn fritters are amazing. The dressings are handmade. They also have great sevice from all of the staff. Everything we got tasted fresh and made there.
1612,"Sold us a tiny piece of MOLDY tiramisou, baklava was horrible, food portions were all small, and too heavily spiced.
The tzatziki sauce was so full of cucumbers pieces the size of icebergs we couldn't enjoy it.
Won't be returning."
1613,Delicious and great service!
1614,The best place to get all your home building needs in Delta Junction and the surrounding area!
1615,Win free movie passes. Get to watch movies. For free
1616,Amazing place with authentic Japanese cuisine. They have amazing service and great sake
1617,Nice mall to just lose yourself in.
1618,I love this place. The tacos are simply amazing
1619,"Great mexican inspired food , lovely place with deck"
1620,The attention to detail is outstanding.... Their work is amazing so they are busy; it helps to book an appointment.
1621,Nothing to share just getting taters
1622,Expensive but the only movie theater in town
1623,The shaved snow was amazing!! Loved all the different flavors and the girl working the front was very friendly andpatient. 10/10 would visit again.
1624,"If there's a better a better deli sandwich place in Alaska, I need to know immediately!"
1625,Yummy!
1626,Very beautiful riverside with beaver dam just upstream from the tent camping spots.
1627,Best fly shop in Alaska!  Definitely stop by if you need anything fly fishing related
1628,Best chili burger I've ever had!!!
1629,"The signature savory smoked salmon crepe is BOM!! My pic can't capture just how delicious and savory. The crepe pastry was light, perfectly toasted, just right flavor to compliment the smoked salmon, cream cheese and capers... wow! Lots of salmon, perfect smoke on it, and folded just right to hold while walking. A true crepe! Friendly, fast chefs, too. Plus you can look out at the famous Whale Park just steps away across the street!"
1630,Excellent job
1631,Great coffee and friendly staff.
1632,Chicken was over cooked
1633,"So this is an interesting place to get pizza, right on the eastern edge of Denali national park (for those of you that still think or say ""Mckinley"", you're way behind the times).  Anyeay, the locale is cool, right next to a vicious creek.  Theres a horseshoe pit and cornhole lane in the front.  Plenty of space outside for you to get ravaged by mosquitos, so bring bug spray.  The views of the m li mountains are awesome.  Inside it's a quaint place, where strange but friendly locals hang out.  The pizza itself, for anyone from places where real pizza is made like the upper east coast, is a bit disappointing.  The sauce is really sweet for starters.  The crust is ok for a pie made outside of the tri-state area, and the toppings seem fresh.  But the flavor is just not what I'm used to eating.  Its wasn't bad, but it's nothing that I'd rave about.  I visited during the whole COVID pandemic, and social distancing or mask-wearing was not an issue nor was it enforced or respected.  All in all, I would not go out of my way to eat her again, I may never eat her again period, but at least I can say I tried it.  I'm not  saying dont go, go and give them s try, judge their pizza for yourself."
1634,Great breakfast and super great service. Had breakfast this morning around 10:30 and those girls were on top of their game running the whole time from table to table making sure everyone had refills. Ate here twice while I was in town.
1635,Took the evening onboard dinner cruise.  The food was very good and the scenery was spectacular.
1636,Went there for a birthday brunch the food was fabulous
1637,"Only drive-through(at July 2019).
bad-quality burger"
1638,"Great service, fair prices, overall great experience, thank you."
1639,"Service is great.  Bread really good.
The only reason I can't give 4 or even 5 stars is their environmental impact.

I am just disappointed that they have no alternative to the single use plastic bags. While they strive to accommodate my wish to not have been the bread pre packed, I wish the company would avoid it in the 1st place.
I love our natural beauty and try my best to deny any single use plastic and hope I can make a difference."
1640,"During football season we head there and enjoy a nice cold beer with their breakfast pizza. Good food, good service."
1641,"I have always had good food no issues and great service.  I am a carne asada, fajita or simple Taco lady. My family has had all different items and they eat it up no complaints."
1642,"Update: Brought from 4 stars to 3. The hashbrowns are always inconsistent! Sometimes they are great and other times terrible.

Pancakes were delicious of course! Tea wasn't great but ok. Water in the bathrooms needed to get warmer. However, the whole experience wasn't bad. Only place to get breakfast at 7pm on the South Side."
1643,"Waited 30 minutes to pay my cellphone service, to only be disrespected by employee! Cricket service suxz, will be going back to Straight Talk as soon as I get rid of Cricket plan."
1644,Awesome had Baby back ribs and they were Fabulous.  For my Birthday dessert I got the crossiant bread pudding 😲
1645,I liked the atmosphere of the place and wait staff was friendly.
1646,"It has a great selection, and larger than I thought. The staff are knowledgeable about the products they sell"
1647,Every type of Alaskan souvenir you could ever wish for - or not as the case may be
1648,Great service.
1649,"Pretty good food, ok service"
1650,Good food
1651,Good food very nice establishment.  But pricey food for being a military eating facility.
1652,Here at AT&T  getting my account fixed up!😉
1653,Very nice small cozy place with a wide variety of dishes. Very nice staff I recommend Royal 🇹🇭 Thai.
1654,Slow as ever. Only one cashier and the department store was very busy.
1655,"Our meal was mostly tasty, if expensive.  We started with cocktails:  2 of our party enjoying specialties, and my Alaska Grown, with gin, ginger liqueur, cucumber syrup, and lime was fantastic.  Apps were appreciated--my favorite of the 2 was lettuce wraps with seasoned and minced chicken, cilantro, red onion, daikon shreds, and Serrano chiles all wrapped in Bib Lettuces.  Delicious!  The rest if the oarty liked the Ahi Poke Nachos better than I did.  My entree was a huge piece of halibut, pesto-crusted, over fingerling potatoes and asparagus with a red pepper coulis.  It was just okay--the fish hadn't much flavor, though the coulis was very nice.  Another of us had Black Cod with Baby Bok Choy and it was very tasty.  I didn't try my friends' Scallop dish or the King Crab mac 'n cheese,  but they both loved it.  It was around this time I noticed every other table was receiving  complimentary focaccia and salmon spread, which our table of 4 was denied.  I am still miffed and disappointed at thus oversight.  But our waiter was interesting, and not in a good way.  He gave us little time before asking for our orders and kept interrupting conversation, almost as if he had little to do.  Not being offered bread by him was just the most egregious fault.  Nobody wanted dessert but me, so I went light with Coconut Mango Panna Cotta.  10 minutes after ordering it, a lady alerted us that it is new and they are finessing the plating, would not be charging us for it, and wanted our feedback.  It was another 10 minutes before it arrived and was almost terrible.  Panna Cotta should be silky and smooth.  This was dense, grainy, and rubbery with a very mild flavor of coconut milk.  It would have been helped by more sauce, but the tiny, artsy-fartsy dribbles of mango and raspberry sauces weren't enough to help or hide the dessert.  I won't order that again.  Mostly a great meal with beautiful views of Mt. Healy, but some misses will keep me from returning very soon.  I'd rather explore and support other places in the area first."
1656,"Amazing and Quick Hike. The View is Amaxing and you will have a hard time finding a better place to take kids, your doggo, or a date. There are no bears or moose that I've ever seen. It seems to be well taken care of and the people obviously appreciate the area because it is always clean. Highly recommend 😁👍👍💚❤💙"
1657,"Had the California chicken sandwich. Fresh guac, juicy chicken breast, and a nice beer on the side. Lost one star bc the fries just don’t get consistent seasoning. I’ve been here a few times now - and it’s like they season the fries unevenly and you get some bland bites right next to bites with way too much seasoning. Great staff and fun atmosphere."
1658,"Great, entertaining, learning experience"
1659,"Just for today, I will enjoy life..."
1660,"Rat problems, slow, rotting tomatoes... You name it"
1661,Staff is good here and food. Place is pretty clean. The bathrooms smell like a swimming pool sometime from all the chlorine they use. Got double charged once.
1662,Love thats it open 24/7! Good shakes
1663,"Great tasting Pizza. it's a small joint run by single man, so do give him sometime if you are a big party.. We loved the pizza they were amazing, especially cheese"
1664,"I can usually find what I'm looking for. The regular employees are pretty great, cant say as much for the seasonal hires."
1665,Nasty!!! Never Again.
1666,This place always has a line of cars out to the street. Not because they’re super popular but because it takes them 5 minutes for each car at the window. Easily the worst run restaurant in town.
1667,"Good food, especially for a bar!"
1668,Great hotel restaurant was good
1669,"Worst place in eagle river, dirty glasses dirty plates dirty menus even had food fall off a menu on to my hand. Will never return to this place."
1670,Meh.
1671,Beautiful drive
1672,"Love their strawberry cheesecake flavored ice cream as well as their chocolate peanut butter flavor. Decent prices for the quality of their products. Also, friendly staff and clean interior."
1673,"In and out, with what I need!!!!! That's how it's done!!!"
1674,"Short version review, Awesome!!!
Longer version haha....I haven't been on a bike for 7 years and was very reluctant to try again (had bad experience from crappy bikes,duh) After having being pregnant and nearly on bedrest/light duty the WHOLE second pregnancy (lost a lot of muscle) I was inspired to make a new goal in life for myself and family. I want to do a triathlon. Though it's been a LONG recovery process, I'm getting there, Trek is a great start!  I went to 6 different bike shops in Anchorage figuring I'd settle for an REI bike ($800) until I went to Trek (the last bike shop I was going to look at) WOW. First bike I road was the one I bought! ($550) which felt like the one at REI but better! It matched my budget and I didn't sacrifice on quality. The customer service has been fantastic, they have been very informative, patient and kind. I enjoy working with them and recommend them to everyone! Very reasonably  priced and there are no pushy salesmen!  No complaints! I've worked with Mike, Katie, Timely and Andy, all of which were fantastic. I'm sure the rest of them are just as great just haven't meant them yet... which I probably will cause it's awesome. Thank you Trek for helping me reach my goals and NOT being cycling snobs, keep up the great work and atmosphere."
1675,It was the first time I had ever been. The food was great. I had the blackened salmon Alfredo and my wife had the alaska fish and chips. Their beer batter was perhaps the best I've tasted in this town and my blackened salmon Alfredo was great( the salmon might have been overcooked a tad but nothing crazy). The bartender Bree was absolutely amazing. Our waitress is the only reason this place is getting 4 instead of 5 stars. She was quite short with us and seemed a little overworked. Everything else was amazing and the general manager even stopped by and had a short conversation with us making sure everything was OK. I'm going to have to visit this place soon and am looking forward to it!!!
1676,Dont bother ordering a steak
1677,"Clean and got to see a bald eagle, sea otters, and salmon in a stream."
1678,"Excellent service, authentic Mexican food and very friendly staff! We love Chico's!!!"
1679,"Everything you need in a local that's not to far to travel from cat and dog food and toys to chicken feed and feeders, to gift ideas your going to love and so much more, if you haven't stopped in yet it's worth your time."
1680,"Knowledgeable staff, friendly.  Greeted immediately, was asked if I needed help.  Offered choices in my field of interest.  Even wrapped the gifts for free.  They're awesome!"
1681,"Can’t beat a pit stop in the heart of the valley like that.. nice views, safe pull off area. Good place to safely stretch your legs"
1682,"Found what we needed, store seemed a little dirty"
1683,Biscuits and gravy was excellent!
1684,"Clean,  professional,  beautiful setting,  very polite."
1685,"Very good, prices are reasonable."
1686,Good selection of craft beer and good food for decent prices.
1687,Great place to rent for your event
1688,"Good customer service , best spicy , juicy , chicken in town , my favorite."
1689,Minus one star only because they didnt have beer.  Awesome food.
1690,Is there to check out their paraphernalia needed a new bong I just want to have to go check it out
1691,Nice little place
1692,Amazing place
1693,"Super friendly, painless experience. Definitely reccomend!"
1694,The go to when in Seward.
1695,"Love this store, i just hope its not going to shut down like every othet place"
1696,Free summer lunch
1697,Expensive place. But fun.
1698,The big store in town. They try hard and are very friendly.
1699,"Love these guys, especially their charter service."
1700,"It was really quiet when we were there. Clean, spacious, friendly staff, great food and I like some of their different dishes. We would eat there again."
1701,"I went with a friend. I havent been in this type of store in 15 yrs. So i went to look at everything and they carry such a wide varieity of things. Fron makeup, video games, clothes, dog food, tires, books, & more. I tried all the different food samples  some were better then others. But all the staff were very friendly and knowledgeable. The store has easy to understand labels so u can make ur way around the store. The correct price of some items are not always clear which got lil confusing. But great quailty of products. I used self check out which was easy and quick.

But my BIG Grip.... they need Check Out Bags. I was pissed when i had to carry all my single items in my arms like an octopus. Only to set my stuff on my car seat. Rolling around on floorboards after the first turn i made driving home. Annoyed."
1702,Let’s all keep the park clean it’s great but a little dirty
1703,"My favorite Mexican store, WELL STOCK, the gentleman is very professional taking care of each customer and making sure the store is looking nice and clean, and giving precise information when asked about certain product ."
1704,"RV dump station is great, but they need access to fresh water..."
1705,"Friendly staff, bath room was pretty dirty and cold but the rest of the store was good and smelled clean. I tried the new Mango frozen thing and it was disgusting. Total waste of $2.00"
1706,"The best I've been to, and my girlfriend says it puts every shop in pad Vegas to shame. And she was ecstatic on the prices."
1707,"The big Juan burrito just wasn't that big, and wasn't that good.  The specials are inexpensive just not that good."
1708,Very talented and friendly
1709,Sushi is ok but not great quality.   fish portions on small side especially since nigiri and rolls pretty expensive.  Very pleasant staff and nice ambience.
1710,Great sushi and selection.  Inside is decorated very well.
1711,Cathy is the best! We love her and always enjoy seeing her.
1712,Good food and beer. Best spot in the airport.
1713,The pizza is to die for!
1714,"Tasty coffee served in a comfortable studious atmosphere. Lots of really beautiful photography on the wall. I walked around to each of them and read the little blurb that accompanied them. Definitely makes you want to get outside and explore!

I had the border mocha, a little ""spicier"" which was nice. Not really hot, just spiced like a wassel.

If you don't want want to go in they also have a little coffee cart in the parking lot."
1715,"Food was on point! The thin crust on the pizza was perfect, too! The service was not so great. Timely, but the wait staff was awkward. Mixed up orders, repeating the order to them several times as they were looking me in the eye, forgotten orders. They really need help with the wait staff. Kudos to the kitchen, though."
1716,"$4 beers where normally they are 550 or 6
Two fire pits center table out side
Had the burger with grilled peppers they were alright just threw on flat top would of been nice to been flame grilled.

There was one with steak and bacon was very good.

Fries are fancy looking but normal tasting steak fries.
Cowslaw delicious if you don't mind it tasting like pineapple."
1717,The staff is awesome especially Chelsea she is always so nice and helpful
1718,"Delicious foods, price is fair and staff is friendly. Comfortable atmosphere"
1719,Yoda was way excited to see his vet and find out about his surgery next week. Im sure he understands what i told him was going to happen. His whole demeanor changed after i told him he was losing his boys. Thank you for being patient with my fur child and me.
1720,"Nice facility, small classes, helpful and methodical instructors. I've taken two classes there so far, and they've been great at breaking down training techniques into clear and managable pieces. Very good at adapting to the dogs in front of them instead of demanding a one-size-fits-all approach."
1721,Breakfast is always very good here. Unlimited coffee and as much cream as I please.
1722,Quick service. Good good.
1723,Great
1724,Great information and great setup
1725,Always a relaxing great environment! The facials are very nice!
1726,"The stairs to enter are all a hot mess, lots of shops but little in the way of food options."
1727,Best theater in Anchorage at the moment.
1728,Brown Bears hockey
1729,Great food
1730,"Great little pizza place with patio seating. Best part, they even have vegan menu items!!"
1731,"Good experience, had good help
Got what I needed"
1732,Very clean. Landed from Anchorage this evening.. Only wish The lady on the plane had been seen he hawing down the isle behind the stewardess with her mask totally off.. She also has a face shield but again wasn't wearing it....Anyway the airport was through in asking passengers questions and all. Lots of staff present like beefed up security.. That's great for my safety.. Airport was somewhat crowed at luggage.. Maybe they need to look at that. Excellent gift store..
1733,I had a few questions and the guy was happy to answer them.
1734,"Long wait times are common here. I just went in there to  buy an entire front end for a ford power stroke. After waiting for 25 minutes or longer to get help, the 1st clue I was in the wrong place was when the parts attendant asked me if the power stroke was a Chevy. Basically I wasted 40 minutes of time there to walk out the door with nothing accomplished. Also earlier in the year ordered a remanufactured power steering gearbox assembly for an early 1999 7.3. I installed it and found out that it was the wrong one after being very specific on what I needed. I had to remove and re install the proper one; several hours wasted. I think I'm done shopping here."
1735,Good selection and helpful staff. Reasonable prices.
1736,"Delicious food, great service, wonderful quality, clean, organized, and I think the attention to detail is superb.
Setup to have a quick turnaround once ordered, the plating was fantastic and dishes themselves were outstanding. Definitely better than other options nearby. I would return based upon the staff alone."
1737,I’ve tried their breakfast and some of their lunch/dinner entrees and it was so-so for me. Nothing special. Good portions and always friendly.
1738,"Good food,  nice folks!"
1739,Pizza is some of the best in town! Movies and beer? What more could you ask for.
1740,Decent commissary....lacks a variety of things...
1741,I always like McDonald's food and service.
1742,Buy shoes here
1743,Nice views and great hiking spots
1744,It's for business and sporting people ya know knock off the mud get the river dust/ salt silt off.
1745,"Great assortment of items. Everything from kimchi to squid in addition to the regular fare you would expect on a Chinese buffet. Price is a couple dollars higher than the Anchorage competition, but definitely worth it. You'll definitely leave satisfied and full!"
1746,"I've been here a couple of times and have never been disappointed. The Grizzly Burger is delicious, and you get a picture on the wall for completing the challenge. The staff is also super friendly which makes an already enjoyable experience so much better"
1747,Good food
1748,Yummy as always but the prices are getting high
1749,Always great food and friendly smiling faces!
1750,"The service was good and the barbecue, of course, but they also have an excellent tortilla soup at the Anchorage location."
1751,"A little crowded for me, but the food, service, and atmosphere were great"
1752,"Always a good place for a bite, but can get crowded."
1753,Excellant...the very best....
1754,"What a wonderful discovery, I cannot believe I've not been here before. It's still true, to find some amazing food try the small places in a strip mall. I'll definitely be eating here again."
1755,"Service was quick, food hot, was seated quickly"
1756,Great burgers
1757,"Beautiful interior, it also has a pond you can look at in the back. There's a deck in the back with a few tables. Amazing food, I loved the fried zucchini, and very nice customer service. Has a pool table and dart game. Two musicians also showed up and my group and I enjoyed and had fun with them."
1758,"Probably don't need the guided tour, or the crimp-ons. But if you really want the maximum info, the guides do a good job.
This was our first time walking on a glacier. It was harder than I expected, and made this strange cracking noise when you walked on it.
The hike was pretty easy. But unstable individuals might be more comfortable with poles. Hiking boots a must."
1759,"Edit: The posole, dios mío the posole. Best I've had outside of New Mexico.

Surprisingly good!  My new favorite Mexican restaurant in the state, and I've tried many if not most.  I always love a good salsa bar, and the food is on point.  It's tex mex rather than comida típica, but still worth a stop."
1760,Great people. Great live music.
1761,The octopus was amazing just wish it came with more.
1762,As delicious as I remembered.  Great place to eat.
1763,I was told I had full coverage until I was hit by someone else then geico told me I only had liability coverage
1764,"Adequate food, occasionally they run out on certain items, such as your bread choice, or vegetables, spinach, cucumbers.  Hours are shorter then the valley location.  Cheaper to dine here than most other places downtown."
1765,Service was great food was okay
1766,Excellent ride down the river.  Especially loved the visits with the dogs and the Athabasca village
1767,Great service and food.
1768,Loved the food. It was about a 30 minute wait (Sunday lunch time) but it was worth it he food was good and we loved having the gluten free and vegan options for those that needed it.
1769,Great food and atmosphere. The portions are massive!
1770,Besides forcing people to wear masks it's not a bad place to shop wearing masks and protecting yourself should be optional
1771,Located along the banks of Valdez Harbour. Comfortable rooms. Breakfast included. Advanced bookings recommended.
1772,Great service. Support local small business!
1773,Have no clue about this place.  Never stopped in but maps grabbed it up because I drove past it.
1774,Great place!  Good service and good food and ice cream
1775,Love the beaches
1776,Best burgers!
1777,"Nice , quiet ,good food and bar"
1778,Great little place
1779,They do a good job considering location.ots a bit old and tired. Good staff.
1780,One of the best cafes in Alaska!! Worth a trip to Kenai just for the breakfast crepes! Outstanding service!
1781,Great place to watch a show and do mushrooms
1782,Just a beautiful place!
1783,"Great breakfast, good service, extremely friendly and homey feel to the place. Food is great, portion size is large. Just what I want."
1784,"Food is fantastic.

Take out food can be considerably smaller than the portions you get when you order dine-in for the same cost."
1785,Wonderfully good food.
1786,Amazing food from appetizers to desserts.
1787,"While a bit expensive, the portions are enormous, the food is well worth every penny, and the atmosphere is pretty nice (although music is a bit loud sometimes for my taste). It's a great place to go for an Occasion (birthdays, anniversaries, what have you). Or if you want a pizza, they're in my top 3 on the island (jeepers, we have a lot of pizza places here)."
1788,A library with old newspapers and can rent out DVDs as well as books
1789,I don't drink any more but if I did I'd drink here.  Hang onto ur wallet tho.
1790,Easy to access with great views of Denali if the weather cooperates
1791,"I had been hearing ads for this restaurant on the radio and when I was in Homer last my husband and I had breakfast. I can't say enough about the environment, service and ohhh my goodness the food! I wish we could have ordered everything on their menu and I cannot wait to go back! Give it a try, you wont be disappointed."
1792,"Wonderful experience, cruise, glaciers, wildlife, views. Great service..they have a ranger on board as well. Very friendly and knowledgeable staff."
1793,Outstanding selection of grains and otherwise hard to find items.  Can be difficult to find an employee though if you don't know where items are
1794,Had a fish and chip platter....shy on fish mostly bread
1795,Lot of things inside
1796,I would take children there
1797,Good options of leathers and helmets
1798,"Great cross country ski in the winter, disc golf, running and biking in the summer"
1799,Great customer service
1800,Best mexican food we've had in a long while. Thanks!
1801,"The service was great, rooms were neat and food was pretty good. Plus you have a 2 drink ticket to start the night. Made with some strong drinks"
1802,"Quick, professional, great facility!  They send a yearly reminder card for my yearly Mammogram —-and in the month of October they give you delicious truffles made in Palmer!!!  Sweetens the experience that’s for sure!"
1803,Best find of the entire trip.  Would definitely return.  The halibut cheeks were awesome!
1804,"Very fast service in a packed house and great food and beer, highly recommend it"
1805,"Homey feel, tasty food."
1806,predictably delicious authentic mexican food!
1807,Good food
